number_of_scenarios,seed,solver,objective_oos,objective_full,oos_gap_pct
10,1,Gurobi,504.98965321076093,504.5838516288457,0.0008042302198242383
10,2,Gurobi,531.4483873463416,531.2650150163222,0.00034516168924431074
10,3,Gurobi,816.9650834528527,510.505440792507,0.6003063203099241
10,4,Gurobi,530.4397854894645,530.2114688087665,0.000430614375828045
10,5,Gurobi,522.8514744588011,521.9489945994742,0.001729057568200658
10,6,Gurobi,3471.5329212624574,532.6524275892822,5.517445038172788
10,7,Gurobi,490.1314911654575,490.05846647396794,0.0001490122025948411
10,8,Gurobi,509.36866797618234,508.6279010608435,0.0014564024383912548
10,9,Gurobi,492.239712549302,490.26633795926875,0.004025107247312567
10,10,Gurobi,491.1972594294878,491.15315791426235,8.979177780866902e-5
40,1,Gurobi,508.9997160769359,508.41858086978135,0.0011430251155659255
40,2,Gurobi,512.9327913143279,511.40692925096425,0.0029836554338411596
40,3,Gurobi,524.7080834185986,523.5912957820306,0.0021329377427865438
40,4,Gurobi,518.2353743705182,517.9203273837361,0.0006082923765004342
40,5,Gurobi,515.6694446294327,515.6015802139193,0.00013162181443525492
40,6,Gurobi,508.3822070149226,508.2920056336812,0.00017745976769582839
40,7,Gurobi,503.3150317864074,503.0892943486839,0.00044870252708472145
40,8,Gurobi,504.8399289290657,504.7540425225929,0.00017015496506690237
40,9,Gurobi,510.25349249669955,509.2489948223381,0.0019725079176874947
40,10,Gurobi,503.7859875289793,501.31366148684157,0.004931694928889635
70,1,Gurobi,516.1108230514864,514.7818162509116,0.002581689482067927
70,2,Gurobi,510.7015770956055,508.82443367898617,0.003689177037051664
70,3,Gurobi,760.7789364546338,515.9231659143082,0.47459735619042676
70,4,Gurobi,511.4552061763686,510.29618362313005,0.0022712741941541673
70,5,Gurobi,512.3320193100398,510.86286185984306,0.0028758352972617493
70,6,Gurobi,510.975494154583,509.8534945066847,0.002200631475486693
70,7,Gurobi,509.90799146167404,505.2609447051846,0.009197320325640728
70,8,Gurobi,506.07885351942616,506.0345179091121,8.761380645982269e-5
70,9,Gurobi,503.6297891909455,503.5210723437049,0.00021591320246948907
70,10,Gurobi,511.545609813414,509.6814327030632,0.0036575338843799934
